film,scene_name,character,dialogue,dialogue_cleaned,location
The Fellowship of the Ring,The Prancing Pony,Gatekeeper,Hobbits! Four hobbits! What business brings you to Bree?,hobbit four hobbit business brings bree,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,We wish to stay at the inn. Our business is our own.,wish stay inn business,811.5 285
The Fellowship of the Ring,The Prancing Pony,Gatekeeper,"All right young sir, I meant no offence. 'Tis my job to ask question after nightfall. There's talk of strange folk abroad. Can't be too careful.",right young sir meant offence ti job ask question nightfall there talk strange folk abroad cant careful,811.5 285
The Fellowship of the Ring,The Prancing Pony,Men of Bree,"Out of the way! Watch where you're walking, young masters!",way watch youre walking young master,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Excuse me?,excuse,811.5 285
The Fellowship of the Ring,The Prancing Pony,Butterbur,"Good evening, little masters! If you're looking for accommodation we've got some nice, cozy, hobbit-sized rooms available. Mister uh -",good evening little master youre looking accommodation weve got nice cozy hobbitsized room available mister uh,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,"- Underhill, my name's Underhill.",underhill name underhill,811.5 285
The Fellowship of the Ring,The Prancing Pony,Butterbur,Underhill. Yes...,underhill yes,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,We're friends of Gandalf the Grey. Can you tell him we've arrived?,friend gandalf grey tell weve arrived,811.5 285
The Fellowship of the Ring,The Prancing Pony,Butterbur,"Gandalf? Gandalf? Oh yes! I remember: elderly chap, big gray beard, pointy hat... Not seen him for six months.",gandalf gandalf oh yes remember elderly chap big gray beard pointy hat seen six month,811.5 285
The Fellowship of the Ring,The Prancing Pony,Sam,What do we do now?,,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Sam. He'll be here. He'll come.,sam hell hell come,811.5 285
The Fellowship of the Ring,The Prancing Pony,Man,"Get, get out of my way.",get get way,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,What's that?,whats,811.5 285
The Fellowship of the Ring,The Prancing Pony,Merry,"This my friend, is a pint.",friend pint,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,It comes in pints? I'm getting one.,come pint im getting one,811.5 285
The Fellowship of the Ring,The Prancing Pony,Sam,You had a whole half already!,whole half already,811.5 285
The Fellowship of the Ring,The Prancing Pony,Sam,That fellow's done nothin' but stare at you since we arrived.,fellow done nothin stare since arrived,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,"Excuse me, that man in the corner, who is he?",excuse man corner,811.5 285
The Fellowship of the Ring,The Prancing Pony,Butterbur,"He's one of them rangers. Dangerous folk they are - wandering the wilds. What his right name is I've never heard, but around here, he's known as Strider.",he one ranger dangerous folk wandering wild right name ive never heard around he known strider,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Strider.,strider,811.5 285
The Fellowship of the Ring,The Prancing Pony,The Ring,Baggins. Baggins. Baggins. Baggins! Baggins!...,baggins baggins baggins baggins baggins,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,Baggins!,baggins,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,"Sure I know a Baggins. He's over there, Frodo Baggins.",sure know baggins he frodo baggins,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,"He's my second cousin, once removed on his mother's side and my third cousin twice removed on his father's side, if you follow me.",he second cousin removed mother side third cousin twice removed father side follow,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Pippin!,pippin,811.5 285
The Fellowship of the Ring,The Prancing Pony,Pippin,"Steady on, Frodo!",steady frodo,811.5 285
The Fellowship of the Ring,The Prancing Pony,Sauron,"You cannot hide! I see you! There is no life in the void, only death!",hide see life void death,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Ah!,ah,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,You draw far too much attention to yourself Mister 'Underhill'!,draw far much attention mister underhill,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,What do you want?,want,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,A little more caution from you. That is no trinket you carry.,little caution trinket carry,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,I carry nothing!,carry nothing,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,Indeed.,indeed,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,"I can avoid being seen if I wish. But to disappear entirely, that is a rare gift.",avoid seen wish disappear entirely rare gift,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Who are you?,,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,Are you frightened?,frightened,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,Yes.,yes,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,Not nearly frightened enough. I know what hunts you.,nearly frightened enough know hunt,811.5 285
The Fellowship of the Ring,The Prancing Pony,Sam,Let him go! Or I'll have you Longshanks!,let go ill longshanks,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,"(sheaths his sword) You have a stout heart little hobbit, but that will not save you. You can no longer wait for the wizard Frodo. They're coming.",sheath sword stout heart little hobbit save longer wait wizard frodo theyre coming,811.5 285
The Fellowship of the Ring,The Prancing Pony,Frodo,What are they?,,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,They were once Men. Great kings of Men.,men great king men,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,"Then Sauron the Deceiver gave to them nine Rings of Power. Blinded by their greed, they took them without question. One by one falling into darkness.",sauron deceiver gave nine ring power blinded greed took without question one one falling darkness,811.5 285
The Fellowship of the Ring,The Prancing Pony,Aragorn,"Now they are slaves to his will. They are the Nazgûl, Ringwraiths, neither living nor dead. At all times they feel the presence of the Ring. Drawn to the power of the One. They will never stop hunting you.",slave nazgûl ringwraiths neither living dead time feel presence ring drawn power one never stop hunting,811.5 285
The Fellowship of the Ring,A Knife in the Dark,Frodo,Where are you taking us?,taking u,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,Into the wild.,wild,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,How do we know this Strider is a friend of Gandalf?,know strider friend gandalf,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Frodo,I think a servant of the Enemy would look fairer and feel fouler.,think servant enemy would look fairer feel fouler,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,He's foul enough!,he foul enough,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Frodo,We have no choice but to trust him.,choice trust,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Sam,But where is he leading us?,leading u,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,"To Rivendell, Master Gamgee. To the House of Elrond.",rivendell master gamgee house elrond,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Sam,Did you hear that? Rivendell! We're going to see the Elves!,hear rivendell going see elf,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,"Gentlemen, we do not stop 'till nightfall.",gentleman stop till nightfall,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Pippin,What about breakfast?,breakfast,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,We've already had it.,weve already,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Pippin,"We've had one, yes. What about second breakfast?",weve one yes second breakfast,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,Don't think he knows about second breakfast Pip.,dont think know second breakfast pip,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Pippin,What about elevenses? Luncheon? Afternoon tea? Dinner? Supper? He knows about them doesn't he?,elevenses luncheon afternoon tea dinner supper know doesnt,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,I wouldn't count on it.,wouldnt count,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,Pippin!,pippin,825 270.6
The Fellowship of the Ring,A Knife in the Dark,Merry,What do they eat - when they can't get Hobbit?,eat cant get hobbit,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Frodo,Who is she? This woman you sing of?,woman sing,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,"'Tis the Lay of Lúthien. The Elf-maiden who gave her love to Beren, a mortal.",ti lay lúthien elfmaiden gave love beren mortal,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Frodo,What happened to her?,happened,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,She died.,died,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Aragorn,"Get some sleep, Frodo.",get sleep frodo,838.5 264.6
The Fellowship of the Ring,A Knife in the Dark,Saruman,"The power of Isengard is at your command, Sauron, Lord of the Earth.",power isengard command sauron lord earth,936.4 500
The Fellowship of the Ring,A Knife in the Dark,Sauron,Build me an army worthy of Mordor!,build army worthy mordor,936.4 500
The Fellowship of the Ring,A Knife in the Dark,First Orc,What orders from Mordor my Lord? What does the Eye command?,order mordor lord eye command,936.4 500
The Fellowship of the Ring,A Knife in the Dark,Saruman,We have work to do.,work,936.4 500
The Fellowship of the Ring,A Knife in the Dark,Orcs,"The trees are strong, my Lord. Their roots go deep.",tree strong lord root go deep,936.4 500
The Fellowship of the Ring,A Knife in the Dark,Saruman,Rip them all down!,rip,936.4 500
The Fellowship of the Ring,A Knife in the Dark,Aragorn,This was the great watchtower of Amon Sûl. We shall rest here tonight.,great watchtower amon sûl shall rest tonight,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Aragorn,These are for you. Keep them close. I'm going to have a look around. Stay here.,keep close im going look around stay,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Merry,My tomato's burst.,tomato burst,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Pippin,Can I have some bacon?,bacon,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Merry,Okay. Want some tomatoes Sam?,okay want tomato sam,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,What are you doing?!,,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Merry,"Tomatoes, sausages, nice crispy bacon.",tomato sausage nice crispy bacon,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Sam,"We saved some for you, Mister Frodo.",saved mister frodo,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,"Put it out, you fools! Put it out!",put fool put,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Pippin,"Oh, that's nice! Ash on my tomatoes!",oh thats nice ash tomato,874.5 279
The Fellowship of the Ring,A Knife in the Dark,All,Uh?!,uh,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,Go!,go,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Sam,Back you devils!,back devil,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,Ah!,ah,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Sam,Frodo!,frodo,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,Oh Sam!,oh sam,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Sam,"Strider! Help him, Strider!",strider help strider,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Aragorn,He's been stabbed by a Morgul blade.,he stabbed morgul blade,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Aragorn,This is beyond my skill to heal. He needs Elvish medicine.,beyond skill heal need elvish medicine,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Aragorn,Hurry!,hurry,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Sam,We're six days from Rivendell. He'll never make it!,six day rivendell hell never make,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,Gandalf...,gandalf,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Aragorn,"Hold on, Frodo.",hold frodo,874.5 279
The Fellowship of the Ring,A Knife in the Dark,Frodo,Gandalf!,gandalf,874.5 279
The Fellowship of the Ring,Flight to the Ford,Gandalf,"Gwaihir. Go, Gwaihir.",gwaihir go gwaihir,936.4 500
The Fellowship of the Ring,Flight to the Ford,Sam,"Look, Mister Frodo! It's Mister Bilbo's trolls!",look mister frodo mister bilbos troll,944 260
The Fellowship of the Ring,Flight to the Ford,Sam,Mister Frodo? He's going cold!,mister frodo he going cold,944 260
The Fellowship of the Ring,Flight to the Ford,Pippin,Is he going to die?,going die,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,He's passing into the shadow world. He will soon become a wraith like them.,he passing shadow world soon become wraith like,944 260
The Fellowship of the Ring,Flight to the Ford,Merry,They're close.,theyre close,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,"Sam, do you know Athelas plant?",sam know athelas plant,944 260
The Fellowship of the Ring,Flight to the Ford,Sam,Athelas?,athelas,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,Kingsfoil?,kingsfoil,944 260
The Fellowship of the Ring,Flight to the Ford,Sam,"Kingsfoil - aye, it's a weed.",kingsfoil aye weed,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,It may help to slow the poison. Hurry!,may help slow poison hurry,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,What's this? A ranger caught off his guard?,whats ranger caught guard,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,Frodo.... Im Arwen. Telin le thaed (I am Arwen. I have come to help you.),frodo im arwen telin le thaed arwen come help,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,Lasto beth nîn. Tolo dan na ngalad (Hear my voice. Come back to the light.),lasto beth nîn tolo dan na ngalad hear voice come back light,944 260
The Fellowship of the Ring,Flight to the Ford,Merry,Who is she?,,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,Frodo!,frodo,944 260
The Fellowship of the Ring,Flight to the Ford,Sam,She's an Elf.,shes elf,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,He's fading!,he fading,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,He's not going to last. We must get him to my father. I've been looking for you for two days.,he going last must get father ive looking two day,944 260
The Fellowship of the Ring,Flight to the Ford,Merry,Where are you taking him?,taking,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"There are five wraiths behind you. Where the other four are, I do not know.",five wraith behind four know,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,Dartho guin perian. Rych le ad tolthathon. (Stay with the Hobbits. I will send horses back for you.),dartho guin perian rych le ad tolthathon stay hobbit send horse back,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,Hon mabathon. Rochon ellint im. (I'm the faster rider. I'll take him.),hon mabathon rochon ellint im im faster rider ill take,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,Andelu i ven. (The road is too dangerous.),andelu ven road dangerous,944 260
The Fellowship of the Ring,Flight to the Ford,Pippin,What are they saying?,saying,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"Frodo fîr. Ae athradon i hir, tur gwaith nin beriatha hon. (Frodo's dying. If I can get across the river, the power of my people will protect him.)",frodo fîr ae athradon hir tur gwaith nin beriatha hon frodos dying get across river power people protect,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,I do not fear them.,fear,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,Be iest lîn. (As you wish.),iest lîn wish,944 260
The Fellowship of the Ring,Flight to the Ford,Aragorn,"Arwen, ride hard. Don't look back!",arwen ride hard dont look back,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"Noro lim, Asfaloth, noro lim! (Ride fast, Asfaloth, ride fast!)",noro lim asfaloth noro lim ride fast asfaloth ride fast,944 260
The Fellowship of the Ring,Flight to the Ford,Sam,What are you doing?! Those wraiths are still out there!,wraith still,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"Noro lim, Asfaloth! (Ride faster, Asfaloth!)",noro lim asfaloth ride faster asfaloth,944 260
The Fellowship of the Ring,Flight to the Ford,Nazgûl,"Give up the halfling, she-Elf!",give halfling sheelf,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"If you want him, come and claim him!",want come claim,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"No! Frodo... No! Frodo, don't give in! Not now!",frodo frodo dont give,944 260
The Fellowship of the Ring,Flight to the Ford,Arwen,"What grace is given me, let it pass to him, let him be spared - save him.",grace given let pas let spared save,944 260
The Fellowship of the Ring,Rivendell,Elrond,"Lasto beth nîn. Tolo dan na ngalad. (Hear my voice, come back to the light.)",lasto beth nîn tolo dan na ngalad hear voice come back light,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Where am I?,,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf's voice,"You are in the house of Elrond. And it is ten o'clock in the morning, on October the twenty-fourth, if you want to know.",house elrond ten oclock morning october twentyfourth want know,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Gandalf!,gandalf,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf,"Yes... I'm here. And you're lucky to be here, too. A few more hours and you would have been beyond our aid. But you have some strength in you, my dear hobbit!",yes im youre lucky hour would beyond aid strength dear hobbit,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,"What happened, Gandalf? Why didn't you meet us?",happened gandalf didnt meet u,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf,Oh I'm sorry Frodo... I was delayed.,oh im sorry frodo delayed,978 276.6
The Fellowship of the Ring,Rivendell,Saruman,Friendship with Saruman is not lightly thrown aside. One ill turn deserves another. It is over! Embrace the power of the Ring... or embrace your own destruction!,friendship saruman lightly thrown aside one ill turn deserves another embrace power ring embrace destruction,936.4 500
The Fellowship of the Ring,Rivendell,Gandalf,There is only one Lord of the Ring! Only one who can bend it to his will. And he... does... not... share... power!,one lord ring one bend share power,936.4 500
The Fellowship of the Ring,Rivendell,Saruman,So you have chosen... death.,chosen death,936.4 500
The Fellowship of the Ring,Rivendell,Frodo,Gandalf? What is it?,gandalf,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf,"Nothing, Frodo.",nothing frodo,978 276.6
The Fellowship of the Ring,Rivendell,Sam,Frodo! Frodo!,frodo frodo,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Sam!,sam,978 276.6
The Fellowship of the Ring,Rivendell,Sam,"Bless you, you're awake!",bless youre awake,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf,Sam has hardly left your side.,sam hardly left side,978 276.6
The Fellowship of the Ring,Rivendell,Sam,"We were that worried about you, weren't we Mister Gandalf?",worried werent mister gandalf,978 276.6
The Fellowship of the Ring,Rivendell,Gandalf,"By the skills of Lord Elrond, you're beginning to mend.",skill lord elrond youre beginning mend,978 276.6
The Fellowship of the Ring,Rivendell,Elrond,"Welcome to Rivendell, Frodo Baggins.",welcome rivendell frodo baggins,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Bilbo!,bilbo,978 276.6
The Fellowship of the Ring,Rivendell,Bilbo,"Hello, Frodo my lad!",hello frodo lad,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Bilbo!,bilbo,978 276.6
The Fellowship of the Ring,Rivendell,Bilbo,Oh!,oh,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,'There and Back Again: A Hobbit's Tale by Bilbo Baggins.' This is wonderful!,back hobbit tale bilbo baggins wonderful,978 276.6
The Fellowship of the Ring,Rivendell,Bilbo,"I meant to go back... wander the paths of Mirkwood... visit Laketown... see the Lonely Mountain again. But age it seems, has finally caught up with me.",meant go back wander path mirkwood visit laketown see lonely mountain age seems finally caught,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,"I miss the Shire. I spent all my childhood pretending I was off somewhere else... off with you on one of your adventures! My own adventure turned out to be quite different. I'm not like you, Bilbo.",miss shire spent childhood pretending somewhere else one adventure adventure turned quite different im like bilbo,978 276.6
The Fellowship of the Ring,Rivendell,Bilbo,My dear boy.,dear boy,978 276.6
The Fellowship of the Ring,Rivendell,Sam,Now what have I forgotten?,forgotten,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,Packed already?,packed already,978 276.6
The Fellowship of the Ring,Rivendell,Sam,No harm in being prepared.,harm prepared,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,"I thought you wanted to see the Elves, Sam.",thought wanted see elf sam,978 276.6
The Fellowship of the Ring,Rivendell,Sam,I do!,,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,More than anything.,anything,978 276.6
The Fellowship of the Ring,Rivendell,Sam,"I did! It's just... we did what Gandalf wanted didn't we? We got the Ring this far to Rivendell and then I thought, seein' as how you're on the mend, we'd be off soon. Off home.",gandalf wanted didnt got ring far rivendell thought seein youre mend wed soon home,978 276.6
The Fellowship of the Ring,Rivendell,Frodo,You're right Sam. We did what we set out to do. The Ring will be safe in Rivendell. I am ready to go home.,youre right sam set ring safe rivendell ready go home,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,His strength returns.,strength return,978 276.6
The Fellowship of the Ring,The Strength of Men,Gandalf,That wound will never fully heal. He will carry it the rest of his life.,wound never fully heal carry rest life,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"And yet to have come so far, still bearing the Ring, the hobbit has shown extraordinary resilience to its evil.",yet come far still bearing ring hobbit shown extraordinary resilience evil,978 276.6
The Fellowship of the Ring,The Strength of Men,Gandalf,It is a burden he should never have had to bear. We can ask no more of Frodo.,burden never bear ask frodo,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"Gandalf, the enemy is moving. Sauron's forces are massing in the east - his eye is fixed on Rivendell. And Saruman you tell me has betrayed us. Our list of allies grows thin.",gandalf enemy moving saurons force massing east eye fixed rivendell saruman tell betrayed u list ally grows thin,978 276.6
The Fellowship of the Ring,The Strength of Men,Gandalf,"His treachery runs deeper than you know. By foul craft Saruman has crossed Orcs with goblin-men, he's breeding an army in the caverns of Isengard. An army that can move in sunlight and cover great distance at speed. Saruman is coming for the Ring.",treachery run deeper know foul craft saruman crossed orcs goblinmen he breeding army cavern isengard army move sunlight cover great distance speed saruman coming ring,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,This evil cannot be concealed by the power of the Elves. We do not have the strength to fight both Mordor and Isengard!,evil concealed power elf strength fight mordor isengard,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"Gandalf, the Ring cannot stay here.",gandalf ring stay,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,This peril belongs to all Middle-Earth. They must decide now how to end it.,peril belongs middleearth must decide end,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,The time of the Elves is over - my people are leaving these shores. Who will you look to when we've gone? The Dwarves? They hide in their mountains seeking riches - they care nothing for the troubles of others.,time elf people leaving shore look weve gone dwarf hide mountain seeking rich care nothing trouble others,978 276.6
The Fellowship of the Ring,The Strength of Men,Gandalf,It is in Men that we must place our hope.,men must place hope,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,Men? Men are weak.,men men weak,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"The race of Men is failing. The blood of Númenor is all but spent, its pride and dignity forgotten. It is because of Men the Ring survives. I was there Gandalf. I was there three thousand years ago...",race men failing blood númenor spent pride dignity forgotten men ring survives gandalf three thousand year ago,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,... when Isildur took the Ring. I was there the day the strength of Men failed.,isildur took ring day strength men failed,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,Isildur - hurry. Follow me.,isildur hurry follow,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"I led Isildur into the heart of Mount Doom, where the Ring was forged, theoneplace it could be destroyed.",led isildur heart mount doom ring forged theoneplace could destroyed,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,Cast it into the fire!,cast fire,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,Destroy it!,destroy,978 276.6
The Fellowship of the Ring,The Strength of Men,Isildur,No.,,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,Isildur!,isildur,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"It should've ended that day, but evil was allowed to endure.",shouldve ended day evil allowed endure,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,"Isildur kept the Ring. The line of kings is broken. There is no strength left in the world of Men. They're scattered, divided, leaderless.",isildur kept ring line king broken strength left world men theyre scattered divided leaderless,978 276.6
The Fellowship of the Ring,The Strength of Men,Gandalf,"There is one who could unite them, one who could reclaim the throne of Gondor.",one could unite one could reclaim throne gondor,978 276.6
The Fellowship of the Ring,The Strength of Men,Elrond,He turned from that path long time ago. He has chosen exile.,turned path long time ago chosen exile,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,You are no Elf!,elf,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,The Men of the South are welcome here.,men south welcome,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,Who are you?,,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,I am a friend to Gandalf the Grey.,friend gandalf grey,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,Then we are here on a common purpose... (smiles) friend.,common purpose smile friend,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,The shards of Narsil! The blade that cut the ring from Sauron's hand!,shard narsil blade cut ring saurons hand,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,It's still sharp!,still sharp,978 276.6
The Fellowship of the Ring,The Strength of Men,Boromir,But no more than a broken heirloom!,broken heirloom,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,"Why do you fear the past? You are Isildur's heir, not Isildur himself. You are not bound to his fate.",fear past isildurs heir isildur bound fate,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,The same blood flows in my veins. Same weakness.,blood flow vein weakness,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,"Your time will come. You will face the same evil, and you will defeat it. A si i-Dhúath ú-orthor, Aragorn. Ú or le a ú or nin. (The Shadow does not hold sway yet, Aragorn. Not over you and not over me.)",time come face evil defeat si idhúath úorthor aragorn ú le ú nin shadow hold sway yet aragorn,978 276.6
The Fellowship of the Ring,The Strength of Men,"""O môr henion i dhû","Ely siriar, êl síla.Ai! Aníron Undómiel.Tiro! Êl eria e môr.I 'lîr en êl luitha 'úren.Ai! Aníron...",ely siriar êl sílaai aníron undómieltiro êl eria e môri lîr en êl luitha úrenai aníron,978 276.6
The Fellowship of the Ring,The Strength of Men,(From darkness I understand the night,"dreams flow, a star shines.Ah! I desire Evenstar.Look! A star rises out of the darkness.The song of the star enchants my heart.Ah! I desire...)]",dream flow star shinesah desire evenstarlook star rise darknessthe song star enchants heartah desire,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,Renech i lu i erui govannen? (Do you remember when we first met?),renech lu erui govannen remember first met,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,Nauthannem i ned ol reniannen. (I thought I had strayed into a dream.),nauthannem ned ol reniannen thought strayed dream,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,Gwenwin in enninath... U-arnech in naeth i si celich. (Long years have passed... You did not have the cares you carry now.),gwenwin enninath uarnech naeth si celich long year passed care carry,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,Renech i beth i pennen? (Do you remember what I told you?),renech beth pennen remember told,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,You said you'd bind yourself to me. Forsaking the immortal life of your people.,said youd bind forsaking immortal life people,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,And to that I hold. I would rather share one lifetime with you than face all the ages of this world alone.,hold would rather share one lifetime face age world alone,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,I choose a mortal life.,choose mortal life,978 276.6
The Fellowship of the Ring,The Strength of Men,Aragorn,You cannot give me this!,give,978 276.6
The Fellowship of the Ring,The Strength of Men,Arwen,It is mine to give to whom I will... like my heart.,mine give like heart,978 276.6
